t,bitcoin
1679847122,27865
1679847242,27877
1679847361,27862
1679847482,27845
1679847602,27823
1679847722,27823
1679847842,27818
1679847962,27827
1679848081,27835
1679848202,27831
1679848322,27836
1679848441,27841
1679848562,27837
1679848682,27825
1679848802,27824
1679848921,27826
1679849042,27838
1679849162,27838
1679849282,27833
1679849402,27836
1679849521,27829
1679849642,27824
1679849762,27824
1679849881,27822
1679850002,27800
1679850122,27791
1679850242,27747
1679850362,27747
1679850481,27733
1679850602,27756
1679850722,27781
1679850842,27781
1679850962,27797
1679851081,27797
1679851202,27801
1679851322,27797
1679851442,27794
1679851562,27794
1679851682,27818
1679851801,27818
1679851922,27832
1679852042,27848
1679852162,27848
1679852282,27874
1679852401,27865
1679852522,27852
1679852642,27852
1679852762,27872
1679852881,27873
1679853002,27873
1679853122,27865
1679853242,27865
1679853362,27865
1679853481,27858
1679853602,27855
1679853722,27858
1679853842,27861
1679853962,27861
1679854082,27858
1679854201,27841
1679854322,27875
1679854442,27875
1679854562,27928
1679854682,27925
1679854801,27905
1679854922,27881
1679855042,27881
1679855162,27885
1679855282,27881
1679855401,27853
1679855522,27852
1679855642,27852
1679855762,27825
1679855881,27825
1679856002,27825
1679856122,27822
1679856242,27823
1679856362,27826
1679856481,27835
1679856602,27835
1679856722,27825
1679856842,27828
1679856961,27824
1679857082,27825
1679857202,27839
1679857322,27839
1679857442,27844
1679857562,27839
1679857681,27839
1679857802,27837
1679857922,27837
1679858042,27849
1679858162,27854
1679858282,27855
1679858401,27851
1679858522,27850
1679858642,27869
1679858762,27854
1679858882,27845
1679859002,27845
1679859122,27831
1679859241,27828
1679859362,27828
1679859482,27842
1679859602,27842
1679859722,27834
1679859842,27834
1679859961,27834
1679860082,27836
1679860202,27836
1679860322,27843
1679860441,27861
