t,bitcoin
2023-03-26 16:12:02,27865
2023-03-26 16:14:02,27877
2023-03-26 16:16:01,27862
2023-03-26 16:18:02,27845
2023-03-26 16:20:02,27823
2023-03-26 16:22:02,27823
2023-03-26 16:24:02,27818
2023-03-26 16:26:02,27827
2023-03-26 16:28:01,27835
2023-03-26 16:30:02,27831
2023-03-26 16:32:02,27836
2023-03-26 16:34:01,27841
2023-03-26 16:36:02,27837
2023-03-26 16:38:02,27825
2023-03-26 16:40:02,27824
2023-03-26 16:42:01,27826
2023-03-26 16:44:02,27838
2023-03-26 16:46:02,27838
2023-03-26 16:48:02,27833
2023-03-26 16:50:02,27836
2023-03-26 16:52:01,27829
2023-03-26 16:54:02,27824
2023-03-26 16:56:02,27824
2023-03-26 16:58:01,27822
2023-03-26 17:00:02,27800
2023-03-26 17:02:02,27791
2023-03-26 17:04:02,27747
2023-03-26 17:06:02,27747
2023-03-26 17:08:01,27733
2023-03-26 17:10:02,27756
2023-03-26 17:12:02,27781
2023-03-26 17:14:02,27781
2023-03-26 17:16:02,27797
2023-03-26 17:18:01,27797
2023-03-26 17:20:02,27801
2023-03-26 17:22:02,27797
2023-03-26 17:24:02,27794
2023-03-26 17:26:02,27794
2023-03-26 17:28:02,27818
2023-03-26 17:30:01,27818
2023-03-26 17:32:02,27832
2023-03-26 17:34:02,27848
2023-03-26 17:36:02,27848
2023-03-26 17:38:02,27874
2023-03-26 17:40:01,27865
2023-03-26 17:42:02,27852
2023-03-26 17:44:02,27852
2023-03-26 17:46:02,27872
2023-03-26 17:48:01,27873
2023-03-26 17:50:02,27873
2023-03-26 17:52:02,27865
2023-03-26 17:54:02,27865
2023-03-26 17:56:02,27865
2023-03-26 17:58:01,27858
2023-03-26 18:00:02,27855
2023-03-26 18:02:02,27858
2023-03-26 18:04:02,27861
2023-03-26 18:06:02,27861
2023-03-26 18:08:02,27858
2023-03-26 18:10:01,27841
2023-03-26 18:12:02,27875
2023-03-26 18:14:02,27875
2023-03-26 18:16:02,27928
2023-03-26 18:18:02,27925
2023-03-26 18:20:01,27905
2023-03-26 18:22:02,27881
2023-03-26 18:24:02,27881
2023-03-26 18:26:02,27885
2023-03-26 18:28:02,27881
2023-03-26 18:30:01,27853
2023-03-26 18:32:02,27852
2023-03-26 18:34:02,27852
2023-03-26 18:36:02,27825
2023-03-26 18:38:01,27825
2023-03-26 18:40:02,27825
2023-03-26 18:42:02,27822
2023-03-26 18:44:02,27823
2023-03-26 18:46:02,27826
2023-03-26 18:48:01,27835
2023-03-26 18:50:02,27835
2023-03-26 18:52:02,27825
2023-03-26 18:54:02,27828
2023-03-26 18:56:01,27824
2023-03-26 18:58:02,27825
2023-03-26 19:00:02,27839
2023-03-26 19:02:02,27839
2023-03-26 19:04:02,27844
2023-03-26 19:06:02,27839
2023-03-26 19:08:01,27839
2023-03-26 19:10:02,27837
2023-03-26 19:12:02,27837
